numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,405,2908,2899,3563,3569,786,823,0,8,0,1037,1049843,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,2
4,405,2964,2958,3604,3486,751,838,0,15,0,994,1049800,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,3
4,405,2459,2452,3112,3271,612,743,0,8,0,965,1049843,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,5
4,405,2457,2451,3115,3188,603,720,0,7,0,988,1049800,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,7
4,405,2255,2251,2859,3025,530,691,6,7,0,912,1049886,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,8
4,405,2269,2264,2887,3034,525,683,0,0,0,916,1049800,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,9
4,405,2288,2283,2925,3052,534,687,0,11,0,943,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,11
4,405,2248,2243,2858,3011,530,687,0,17,0,922,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,13
4,405,2265,2260,2878,3005,531,685,0,4,0,903,1050000,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,15
4,405,2777,2772,3508,3491,732,790,1,6,0,1102,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,17
4,405,2502,2497,3185,3285,593,729,9,22,0,1017,1050086,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,19
4,405,5268,5257,7299,4872,947,919,4,292,0,1467,1049800,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,1
4,405,2930,2924,3598,3497,704,789,0,10,0,1132,1049843,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,4
4,405,2305,2299,2859,3024,572,718,0,0,0,910,1049800,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,6
4,405,2269,2262,2857,3012,541,698,0,0,0,909,1049826,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,10
4,405,2241,2237,2877,3012,513,686,0,7,0,924,1050000,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,12
4,405,2275,2271,2899,3049,549,695,0,5,0,923,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,14
4,405,2532,2504,3169,3245,623,738,4,16,0,977,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,16
4,405,2741,2736,3495,3387,711,748,7,19,0,1122,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,18
4,405,2251,2246,2901,3002,536,674,0,18,0,934,1050043,0,0,6727794688,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,20
