numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,2763,2820,4139,4192,759,705,0,14,0,167,1081886,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,2
4,205,2626,2682,3923,4006,696,696,0,6,0,166,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,3
4,205,2740,3262,4187,4242,725,710,0,8,0,172,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,5
4,205,2853,3398,4268,4341,781,767,0,18,0,173,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,7
4,205,2804,2847,4231,4291,787,738,0,11,0,164,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,9
4,205,2641,2677,3987,4068,707,708,0,8,0,169,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,11
4,205,2731,2772,4112,4190,737,740,0,6,0,171,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,13
4,205,2723,3244,4120,4190,722,735,0,23,0,166,1081886,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,15
4,205,2665,3168,4101,4195,678,686,0,5,0,177,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,17
4,205,2749,3262,4150,4217,752,709,0,6,0,166,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,19
4,205,2979,3803,4529,4524,735,711,0,32,0,179,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,1
4,205,2705,3229,4132,4205,734,697,0,11,0,174,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,4
4,205,2666,2717,4074,4142,718,707,0,13,0,163,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,6
4,205,2660,2702,4036,4118,711,707,0,6,0,163,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,8
4,205,2646,3150,3984,4055,740,725,0,25,0,161,1081929,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,10
4,205,2731,3233,4142,4224,728,731,0,11,0,162,1081843,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,12
4,205,2693,2731,4030,4101,738,724,0,6,0,168,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,14
4,205,2645,3143,3984,4067,724,700,0,13,0,160,1081886,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,16
4,205,2549,2604,3841,3914,676,681,0,5,0,167,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,18
4,205,2588,3109,3955,4031,677,677,0,6,0,179,1081800,0,0,13642498048,509,23616432,0,0,5067210,1000,1000,0,38200775,38200775,0,0,38200775,5067210,20
