numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,1975,1902,2870,2944,328,394,0,8,0,107,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,2
4,205,1934,1882,2882,2945,325,405,0,12,0,101,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,3
4,205,1908,1857,2815,2883,313,382,0,12,0,98,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,5
4,205,2501,2432,3757,3706,372,426,0,0,0,132,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,7
4,205,2366,2280,3539,3560,343,407,0,19,0,118,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,9
4,205,2347,2277,3527,3535,360,407,0,14,0,120,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,11
4,205,2357,2294,3607,3663,375,419,0,17,0,125,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,13
4,205,2353,2282,3493,3475,353,419,0,7,0,102,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,16
4,205,1934,1881,2865,2939,311,380,0,0,0,105,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,19
4,205,1862,1804,2786,2849,299,380,0,7,0,103,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,20
4,205,1959,1891,2880,2927,345,394,0,21,0,98,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,1
4,205,2073,2004,3019,2983,325,393,0,22,0,98,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,4
4,205,2273,2204,3302,3331,369,406,0,21,0,104,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,6
4,205,2329,2274,3594,3600,353,406,0,44,0,120,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,8
4,205,2448,2389,3670,3687,378,432,0,15,0,128,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,10
4,205,2439,2362,3631,3555,353,406,0,10,0,115,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,12
4,205,2402,2290,3454,3438,346,412,0,41,0,103,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,14
4,205,2312,2258,3545,3594,381,406,0,33,0,133,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,15
4,205,2091,2023,3115,3143,324,388,0,0,0,100,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,17
4,205,1963,1903,2863,2913,325,381,0,0,0,103,1073424,0,0,6814171136,509,23616432,0,0,2460307,600,600,0,21666387,21666387,0,0,21666387,2460307,18
