numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,405,5928,5924,10200,10331,539,719,0,28,0,1089,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,2
4,405,6190,6184,10703,10827,561,739,5,46,0,1135,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,4
4,405,6242,6237,10737,10871,577,752,0,22,0,1129,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,6
4,405,6348,6343,10945,11071,603,754,0,35,0,1135,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,8
4,405,6176,6172,10593,10713,588,756,0,41,0,1095,1050086,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,10
4,405,6347,6343,10986,11098,590,760,0,38,0,1160,1050086,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,12
4,405,6333,6328,10996,11147,578,746,5,23,0,1162,1050172,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,14
4,405,6312,6307,10866,10978,571,753,0,31,0,1139,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,16
4,405,6213,6208,10726,10861,588,756,0,37,0,1111,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,18
4,405,5956,5951,10264,10389,546,720,0,18,0,1081,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,20
4,405,6318,6313,10955,11073,592,755,0,20,0,1126,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,1
4,405,6126,6121,10559,10707,573,739,0,21,0,1099,1050000,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,3
4,405,6472,6467,11136,11170,604,780,0,33,0,1212,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,5
4,405,6409,6405,11156,11298,594,756,0,27,0,1159,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,7
4,405,6194,6189,10676,10751,577,757,0,47,0,1122,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,9
4,405,6032,6027,10393,10541,563,746,0,19,0,1097,1050043,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,11
4,405,6015,6010,10289,10437,567,737,0,20,0,1087,1050086,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,13
4,405,6504,6499,11123,11176,615,792,0,47,0,1164,1050172,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,15
4,405,6122,6117,10483,10629,570,746,0,18,0,1107,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,17
4,405,6289,6285,10857,10975,584,746,5,32,0,1135,1050129,0,0,6920601600,509,23616432,0,0,10134220,1200,1200,0,112099599,112099599,0,0,112099599,10134220,19
