numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,17771,17930,33833,33712,704,753,0,194,0,847,1081843,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,2
4,205,17764,18010,33944,33157,722,749,0,67,0,1346,1081886,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,3
4,205,17814,22806,34011,32662,688,745,0,91,0,1482,1082015,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,5
4,205,17706,22536,33883,33837,720,762,4,96,0,874,1082058,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,7
4,205,17265,22079,33035,32964,721,754,0,108,0,903,1081929,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,9
4,205,17479,22363,33496,33395,707,759,0,128,0,906,1082058,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,11
4,205,17504,22307,33464,33405,696,752,0,110,0,870,1081972,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,13
4,205,17523,22372,33556,33494,704,755,0,102,0,911,1081929,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,15
4,205,17258,22113,32866,32825,736,754,0,99,0,869,1081972,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,17
4,205,17240,17394,32908,32865,728,765,0,108,0,853,1081929,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,19
4,205,17460,22253,33178,33015,758,766,0,226,0,844,1081929,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,1
4,205,17272,17480,33036,33026,729,761,5,87,0,891,1082058,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,4
4,205,17487,22237,33495,33451,705,758,0,108,0,900,1082101,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,6
4,205,17418,22359,33290,33259,753,764,0,101,0,950,1081972,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,8
4,205,17188,22051,32983,32937,698,747,0,112,0,915,1082058,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,10
4,205,17304,17458,33096,33069,734,760,0,107,0,890,1082058,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,12
4,205,17634,17811,33662,33615,757,778,18,130,0,892,1082058,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,14
4,205,17157,17327,32712,32688,729,750,0,97,0,864,1082015,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,16
4,205,17579,22425,33628,33574,720,771,0,120,0,880,1081972,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,18
4,205,17428,17583,33261,33224,731,768,0,112,0,852,1082015,0,0,15125708800,5050,230676456,0,0,50486551,1000,1000,0,394269277,394269277,0,0,394269277,50486551,20
