numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,13296,12939,24703,22322,343,426,11,77,0,748,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,2
4,205,12895,12520,22792,22640,303,414,10,91,0,497,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,3
4,205,14105,13712,26329,21883,291,413,20,364,0,2924,11011761,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,6
4,205,11933,11579,22075,21911,274,410,10,159,0,487,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,8
4,205,12130,11733,22296,22178,286,414,10,138,0,474,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,10
4,205,12772,12411,23402,22064,293,416,10,134,0,658,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,11
4,205,12098,11701,22348,22096,280,410,10,267,0,480,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,13
4,205,11963,11569,22055,21795,280,412,10,279,0,486,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,15
4,205,12342,11948,22834,22405,293,421,10,423,0,484,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,17
4,205,12497,12082,23080,22985,304,427,10,123,0,476,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,19
4,205,13766,13405,24310,22445,307,425,10,521,0,1811,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,1
4,205,12273,11862,22491,22319,287,414,10,167,0,478,11011761,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,4
4,205,14186,13751,26097,22588,319,424,8,280,0,712,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,5
4,205,13057,12663,23726,22687,307,421,10,128,0,1396,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,7
4,205,12320,11918,22473,22402,290,421,11,80,0,487,11011761,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,9
4,205,12233,11830,22506,22278,277,412,10,253,0,469,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,12
4,205,12201,11821,22485,22179,282,411,10,304,0,476,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,14
4,205,12185,11818,22460,22410,297,417,10,81,0,474,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,16
4,205,11906,11529,21870,21783,300,414,21,116,0,476,11011718,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,18
4,205,12210,11835,22306,22090,288,414,22,243,0,473,11011761,0,0,7549747200,5050,230676456,0,0,24739622,600,600,0,219679054,219679054,0,0,219679054,24739622,20
