numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,1670,1911,1996,1470,470,476,2,22,0,139,1104529,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,1
4,205,1378,1481,1549,1125,426,429,0,37,0,111,1104486,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,3
4,205,1373,1410,1504,1119,418,414,0,0,0,117,1104400,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,5
4,205,1287,1334,1418,1137,404,402,0,25,0,129,1104443,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,7
4,205,1070,1145,1171,952,313,372,0,30,0,103,1104486,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,9
4,205,1259,1397,1402,1147,399,422,0,0,0,125,1104400,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,2
4,205,1212,1321,1365,1094,345,403,0,0,0,111,1104400,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,4
4,205,1329,1358,1502,1052,376,412,0,0,0,97,1104400,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,6
4,205,985,1024,1043,934,305,362,0,0,0,95,1104400,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,8
4,205,1061,1143,1113,982,335,383,0,0,0,105,1104400,0,0,13451329536,52,2338768,0,0,506025,1000,1000,0,4016176,4016176,0,0,4016176,506025,10
