numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,9299,8898,12734,4523,2058,1188,13,624,2,232,1025606,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,1
4,205,2678,2604,2945,1564,689,541,5,0,0,152,1025443,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,4
4,205,2038,1987,2224,1418,568,526,0,10,0,95,1025443,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,6
4,205,1591,1550,1698,1173,463,484,1,8,0,79,1025486,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,8
4,205,1316,1257,1389,1099,389,447,0,0,0,82,1025400,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,10
4,205,4272,4174,5430,2137,686,621,8,31,0,218,1025658,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,2
4,205,2718,2630,3163,1813,687,588,18,9,0,115,1025572,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,3
4,205,1819,1764,2050,1410,480,511,8,29,0,98,1025486,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,5
4,205,2127,2060,2401,1320,522,509,0,10,0,84,1025443,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,7
4,205,1444,1399,1524,1145,438,472,0,9,0,76,1025443,0,0,6723993600,52,2338768,0,0,241921,600,600,0,2480749,2480749,0,0,2480749,241921,9
