numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,4085,4076,6242,3343,690,556,1,25,0,250,930929,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,1
3,205,1906,1901,2571,2153,391,460,0,17,0,127,930843,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,3
3,205,2001,1996,2717,2106,402,462,0,20,0,161,930886,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,4
3,205,1518,1512,2015,1901,348,423,0,0,0,121,930800,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,8
3,205,1480,1475,2010,1840,318,397,0,9,0,115,930843,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,10
3,205,2536,2529,3499,2391,490,503,0,25,0,130,930886,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,2
3,205,1936,1931,2627,2094,413,462,0,0,0,126,930800,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,5
3,205,2385,2381,3279,2252,496,483,0,18,0,201,930886,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,6
3,205,1782,1777,2446,2093,398,445,0,22,0,134,930843,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,7
3,205,1557,1552,2092,1926,340,414,0,8,0,122,930843,0,0,6727794688,52,2338768,0,0,506025,1000,1000,0,5786914,5786914,0,0,5786914,506025,9
