numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,13508,13739,26008,25892,300,419,0,14,0,870,1104600,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,1
4,205,13550,13760,26079,25976,315,415,0,24,0,872,1104643,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,3
4,205,13397,13596,25761,25590,293,417,0,32,0,875,1104643,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,4
4,205,13318,18850,25645,25517,285,410,0,33,0,849,1104686,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,6
4,205,13476,13683,25980,25837,299,419,0,41,0,863,1104686,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,8
4,205,13761,19323,26422,26241,318,425,0,38,0,851,1104686,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,2
4,205,13345,18888,25706,25587,299,412,0,31,0,865,1104686,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,5
4,205,13262,18796,25470,25215,283,407,0,51,0,838,1104729,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,7
4,205,13595,13815,26122,25850,288,409,0,67,0,877,1104772,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,9
4,205,13649,19281,26280,26117,298,422,0,78,0,891,1104815,0,0,15125708800,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,10
