numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,20109,26065,38946,37722,448,493,0,720,0,818,1192303,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,1
4,205,18829,19036,36555,36313,424,482,0,124,0,863,1192131,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,3
4,205,19316,25036,37339,37027,423,482,0,124,0,833,1192131,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,7
4,205,18868,19096,36611,36379,420,482,0,105,0,860,1192088,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,8
4,205,19227,24671,37342,37064,426,490,0,109,0,853,1192088,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,9
4,205,19098,24595,37126,36819,433,488,0,141,0,846,1192260,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,2
4,205,18972,19165,36710,36400,436,481,0,113,0,831,1192131,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,4
4,205,19042,19246,36960,36722,433,484,0,92,0,838,1192002,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,5
4,205,18710,24293,36254,36047,427,484,0,107,0,884,1192088,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,6
4,205,19250,19548,37325,37059,437,491,0,136,0,862,1192131,0,0,22701670400,5051,230685408,0,0,50486551,1000,1000,0,399447886,399447886,0,0,399447886,50486551,10
