numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,29166,29163,57175,56671,298,437,0,275,0,1167,932806,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,1
3,205,29265,29261,57274,56823,295,437,0,273,0,1186,932892,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,4
3,205,28454,28451,55850,55470,297,435,0,249,0,1168,932849,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,6
3,205,28283,28278,55585,55211,278,424,0,250,0,1182,932806,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,8
3,205,28138,28135,55293,54914,279,417,0,263,0,1182,932806,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,10
3,205,28701,28697,56174,55762,298,440,0,253,0,1177,932849,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,2
3,205,28558,28554,55977,55603,290,436,0,251,0,1186,932849,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,3
3,205,28727,28724,56287,55877,293,436,0,245,0,1195,932849,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,5
3,205,28592,28590,56052,55589,289,433,0,248,0,1152,932892,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,7
3,205,28845,28842,56488,56084,307,436,0,268,0,1161,932806,0,0,8388608000,5051,230685408,0,0,50486551,1000,1000,0,573977150,573977150,0,0,573977150,50486551,9
