numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,221,123975,181298,245776,242277,340,466,0,1896,0,8268,1106148,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,1
4,221,122726,179042,244031,241467,288,422,0,1987,0,8544,1105804,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,4
4,221,122408,178670,243583,241103,285,423,0,2141,0,8383,1106062,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,5
4,221,122756,124501,243513,241016,297,431,0,1945,0,8371,1106277,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,6
4,221,122295,178949,243315,240693,281,418,0,1963,0,8647,1106019,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,7
4,221,121889,123845,242675,240538,294,428,0,1841,0,8240,1105890,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,8
4,221,123583,180958,245195,241889,311,436,0,1985,0,8479,1105976,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,10
4,221,123646,180815,245362,241730,305,433,0,2360,0,8631,1106019,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,2
4,221,122799,124576,244160,241810,294,425,0,1870,0,8370,1106105,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,3
4,221,122744,124566,244157,241281,284,422,0,2180,0,8416,1105761,0,0,47395635200,50511,2347688148,0,0,504931085,4200,4200,0,3995629959,3995629959,0,0,3995629959,504931085,9
