numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,848,848,1004,626,234,283,0,8,0,28,574283,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,2
2,161,825,824,956,628,214,277,0,16,0,28,574369,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,3
2,161,821,820,984,598,207,268,0,63,0,27,574326,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,5
2,161,881,881,992,636,249,289,0,0,0,30,574240,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,7
2,161,735,734,821,557,185,261,0,9,0,26,574326,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,9
2,161,885,884,1071,685,231,292,0,8,0,30,574283,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,1
2,161,973,972,1138,661,258,303,0,13,0,31,574326,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,4
2,161,863,862,988,606,227,274,0,11,0,31,574326,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,6
2,161,774,773,878,607,205,269,0,10,0,28,574326,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,8
2,161,887,886,1007,632,246,292,0,13,0,29,574326,0,0,10766909440,320,2470732,0,0,160,160,160,0,6720,6720,0,0,6720,160,10
