numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,1690,1690,2638,2363,264,315,0,10,0,30,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,2
2,161,1833,1832,2849,2320,282,307,0,9,0,31,574443,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,4
2,161,1622,1621,2562,2255,230,299,0,11,0,30,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,6
2,161,1877,1877,2918,2431,255,319,0,8,0,32,574443,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,8
2,161,1580,1579,2492,2264,235,307,0,11,0,30,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,10
2,161,1750,1750,2756,2487,259,322,0,22,0,33,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,1
2,161,1624,1623,2546,2325,247,305,0,12,0,31,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,3
2,161,1698,1697,2607,2390,260,320,0,9,0,31,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,5
2,161,1671,1671,2587,2342,258,319,0,10,0,32,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,7
2,161,1580,1579,2460,2269,225,297,0,15,0,30,574486,0,0,10915676160,762,23876458,0,0,160,160,160,0,6720,6720,0,0,6720,160,9
