numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,321,2242,2159,2953,2918,353,519,0,17,0,29,2065109,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,2
3,321,2088,2010,2793,2808,327,507,0,8,0,28,2064335,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,4
3,321,2127,2004,2742,2778,315,489,0,0,0,28,2064163,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,5
3,321,2114,2005,2818,2809,307,493,0,35,0,28,2063905,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,6
3,321,2861,2758,4019,3432,427,539,0,26,0,31,2066829,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,1
3,321,2197,2098,2918,2922,326,498,0,15,0,29,2063346,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,3
3,321,2484,2400,3105,2985,417,536,0,19,0,30,2068592,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,7
3,321,2382,2280,3047,3020,409,532,0,9,0,30,2066829,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,8
3,321,2313,2225,3073,2974,379,519,2,17,0,30,2065840,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,9
3,321,2229,2134,2981,2939,320,508,0,16,0,30,2062529,0,0,6348595200,762,23940112,0,0,160,160,160,0,6720,6720,0,0,6720,160,10
