numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,16541,16540,32119,29910,301,379,0,580,0,31,645388,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,1
2,161,14882,14881,28876,28091,250,359,0,293,0,31,645044,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,3
2,161,14350,14349,27758,27106,253,358,0,244,0,30,644915,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,7
2,161,14143,14142,27328,26720,236,351,0,205,0,30,644829,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,9
2,161,14571,14570,28242,27462,250,353,0,326,0,31,645087,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,2
2,161,14298,14297,27656,26930,256,360,0,291,0,31,645001,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,4
2,161,14219,14218,27522,26824,240,351,0,273,0,30,644872,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,5
2,161,14130,14129,27306,26675,246,351,0,205,0,30,644786,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,6
2,161,14032,14031,27219,26562,233,348,0,241,0,30,644915,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,8
2,161,14244,14244,27488,26843,237,350,0,227,0,30,644915,0,0,19503513600,5193,377151236,0,0,160,160,160,0,6720,6720,0,0,6720,160,10
