numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,102498,102497,202110,195051,255,340,0,3876,0,30,577969,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,1
2,161,100318,100318,198964,195165,233,315,0,3464,0,31,578743,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,4
2,161,100915,100915,199700,195212,216,308,0,4165,0,31,579001,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,5
2,161,98774,98774,196285,192546,218,309,0,3438,0,32,578528,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,7
2,161,100563,100562,198742,194606,215,307,0,3759,0,31,578743,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,8
2,161,100083,100082,199149,194654,221,302,0,4153,0,31,578657,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,10
2,161,100809,100809,198944,194879,216,310,0,3690,0,31,578141,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,2
2,161,100488,100488,198548,194407,217,313,0,3791,0,31,578270,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,3
2,161,99850,99849,197855,193810,205,297,0,3700,0,31,579173,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,6
2,161,99663,99663,197864,193761,205,300,0,3773,0,31,578614,0,0,54022635520,50693,4047493344,0,0,160,160,160,0,6720,6720,0,0,6720,160,9
