numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,241,1789,1786,2385,2120,391,508,0,19,0,298,905886,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,2
3,241,1680,1673,2191,2057,377,486,0,9,0,245,905843,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,3
3,241,1586,1582,2111,1991,361,466,0,8,0,232,905843,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,5
3,241,1794,1790,2333,2174,388,497,0,8,0,271,905843,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,7
3,241,1694,1690,2217,2004,367,472,0,0,0,229,905800,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,9
3,241,2142,2138,2929,2337,430,534,0,32,0,262,905843,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,1
3,241,1835,1830,2381,2147,418,500,0,17,0,235,905886,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,4
3,241,1646,1641,2159,2040,381,483,0,9,0,231,905843,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,6
3,241,1710,1705,2252,2038,382,476,0,20,0,239,905843,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,8
3,241,1821,1816,2387,2155,444,504,0,22,0,227,905886,0,0,6727794688,80,2354888,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,10
