numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,802,802,1461,1362,40,47,0,0,0,4,71780,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,1
2,21,740,740,1357,1219,41,47,0,21,0,4,71823,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,4
2,21,744,744,1356,1280,38,44,0,0,0,4,71780,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,6
2,21,759,758,1381,1294,43,44,0,5,0,3,71823,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,8
2,21,754,754,1384,1290,40,46,0,8,0,4,71823,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,10
2,21,806,805,1472,1385,45,44,0,10,0,4,71823,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,2
2,21,823,823,1440,1372,43,47,0,0,0,4,71780,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,3
2,21,879,878,1607,1506,41,47,0,0,0,4,71780,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,5
2,21,816,816,1497,1352,44,44,0,0,0,3,71780,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,7
2,21,705,704,1283,1215,41,43,0,0,0,4,71780,0,0,1512570880,528,23531536,0,0,20,20,20,0,840,840,0,0,840,20,9
