numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,41,1174,1097,1800,1756,91,86,0,9,0,4,1644278,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,1
3,41,1030,965,1677,1650,78,86,0,9,0,4,1644278,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,3
3,41,995,922,1495,1484,82,77,0,0,0,3,1644278,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,5
3,41,990,927,1589,1575,87,83,0,0,0,4,1644192,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,7
3,41,1013,948,1645,1627,86,81,0,0,0,4,1644149,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,9
3,41,1348,1249,2002,1894,79,89,7,11,0,4,1644321,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,2
3,41,981,915,1602,1561,81,78,0,9,0,4,1644149,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,4
3,41,1055,991,1674,1639,84,82,0,15,0,4,1644235,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,6
3,41,1062,954,1640,1607,74,79,0,21,0,5,1644149,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,8
3,41,1083,1008,1736,1693,76,78,0,18,0,4,1644149,0,0,866974720,528,23628456,0,0,20,20,20,0,840,840,0,0,840,20,10
