numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,8271,8271,16318,15487,32,41,0,443,0,3,71929,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,1
2,21,7692,7692,15119,14884,38,45,0,40,0,3,71972,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,4
2,21,7866,7865,15392,15115,36,43,0,57,0,3,71972,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,6
2,21,7720,7720,15084,14848,41,44,0,27,0,3,71929,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,8
2,21,7774,7773,15251,14969,40,43,0,53,0,3,72015,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,10
2,21,7638,7638,15046,14806,31,38,0,68,0,3,71972,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,2
2,21,7636,7635,15074,14851,34,42,0,33,0,3,71929,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,3
2,21,7823,7823,15310,15044,39,42,0,71,0,4,71929,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,5
2,21,7818,7817,15282,15019,39,44,0,46,0,3,71972,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,7
2,21,7617,7617,15010,14736,31,40,0,44,0,3,71972,0,0,4739563520,5070,367260313,0,0,20,20,20,0,840,840,0,0,840,20,9
