numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,139787,139786,275965,262851,70,46,0,12131,0,4,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,2
2,21,138215,138214,272910,261594,33,40,0,10753,0,4,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,4
2,21,141296,141296,276722,263229,40,48,0,12926,0,3,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,6
2,21,140199,140198,274628,262374,34,40,0,11629,0,3,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,7
2,21,140981,140981,278645,264141,41,45,0,13755,0,4,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,9
2,21,142216,142216,279507,262765,73,73,0,10542,0,4,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,1
2,21,141104,141104,277951,263334,34,42,0,13926,0,3,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,3
2,21,139403,139402,275040,262696,34,42,0,11485,0,4,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,5
2,21,138523,138522,274587,262103,38,45,0,11794,0,3,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,8
2,21,139550,139550,275722,262050,30,41,0,13032,0,3,74380,3713122372,22481469440,9059696640,50513,4046141546,0,0,20,20,20,0,840,840,0,0,840,20,10
