numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,81,373,343,336,333,118,139,0,6,0,7,237707,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,2
3,81,529,490,456,403,165,153,0,19,0,8,238352,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,4
3,81,452,410,403,382,126,144,0,0,0,8,237449,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,5
3,81,457,420,407,369,134,143,0,0,0,8,238223,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,6
3,81,356,327,320,331,87,129,0,0,0,7,236804,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,9
3,81,804,724,869,588,197,200,0,6,0,11,237707,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,1
3,81,494,449,419,383,174,153,0,0,0,8,239169,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,3
3,81,378,346,332,345,104,135,0,0,0,8,236718,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,7
3,81,443,406,335,315,109,135,0,7,0,7,238825,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,8
3,81,457,423,405,377,113,142,0,0,0,11,236976,0,0,1374014464,120,2378752,0,0,40,40,40,0,1680,1680,0,0,1680,40,10
