numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,2302,2298,3075,2578,464,608,17,60,0,461,906372,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,1
3,281,1763,1758,2319,2218,386,527,0,24,0,379,906286,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,4
3,281,1835,1831,2364,2278,399,543,0,18,0,455,906286,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,6
3,281,1731,1727,2278,2212,388,520,0,14,0,363,906286,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,8
3,281,1770,1765,2302,2245,385,524,0,13,0,428,906286,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,10
3,281,1848,1844,2416,2316,421,555,0,30,0,393,906329,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,2
3,281,1858,1854,2437,2299,418,554,0,28,0,396,906329,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,3
3,281,1946,1943,2590,2333,446,558,0,47,0,377,906329,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,5
3,281,1746,1742,2283,2204,413,534,0,35,0,379,906329,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,7
3,281,1706,1701,2265,2218,378,513,0,22,0,378,906329,0,0,6727794688,120,2378752,0,0,506025,600,600,0,5771315,5771315,0,0,5771315,506025,9
