numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,4651,4646,8015,7839,365,533,0,52,0,488,906458,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,2
3,281,4862,4859,8402,8220,405,567,0,70,0,510,906501,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,4
3,281,4725,4721,8134,8032,391,561,0,38,0,508,906372,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,6
3,281,4681,4678,8080,7964,389,546,0,58,0,469,906415,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,8
3,281,4560,4556,7861,7742,389,543,0,41,0,476,906415,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,10
3,281,5043,5039,8767,8380,396,553,0,107,0,493,906458,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,1
3,281,4729,4725,8196,8055,383,546,0,68,0,495,906544,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,3
3,281,4609,4605,7935,7804,398,553,0,61,0,499,906501,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,5
3,281,4527,4524,7797,7682,370,540,0,55,0,504,906458,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,7
3,281,4754,4750,8167,8033,378,557,0,53,0,523,906458,0,0,6920601600,559,23661560,0,0,5067210,600,600,0,57750538,57750538,0,0,57750538,5067210,9
