numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,11547,11547,22657,21935,60,85,0,657,0,8,162508,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,2
2,41,11114,11114,22016,21778,67,91,0,181,0,7,161777,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,4
2,41,11043,11043,21820,21616,63,88,0,149,0,7,161734,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,5
2,41,11070,11070,21903,21688,58,85,0,159,0,7,161691,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,7
2,41,11168,11168,22091,21886,69,93,0,144,0,8,161691,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,9
2,41,12077,12077,23679,22429,75,100,0,1172,0,8,162594,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,1
2,41,11221,11220,22136,21864,65,88,0,190,0,8,161863,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,3
2,41,11092,11092,21938,21751,69,93,0,118,0,7,161648,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,6
2,41,11113,11112,21900,21696,60,85,0,146,0,7,161691,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,8
2,41,11153,11152,22072,21850,71,92,0,163,0,7,161691,0,0,10108272640,5089,368940017,0,0,40,40,40,0,1680,1680,0,0,1680,40,10
