numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,135669,135669,270087,260665,59,78,0,8710,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,2
2,41,135302,135302,270292,260876,71,81,0,8736,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,3
2,41,134242,134242,267053,259878,62,80,0,6436,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,5
2,41,135118,135117,270024,261297,59,79,0,8101,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,7
2,41,133604,133603,265087,257111,60,80,0,7372,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,9
2,41,138648,138648,276899,261906,84,102,0,8672,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,1
2,41,135971,135970,270457,260928,61,81,0,8857,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,4
2,41,135305,135304,268697,259460,61,82,0,8536,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,6
2,41,133386,133386,265873,258289,63,81,0,6818,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,8
2,41,134154,134154,266929,257447,64,84,0,8724,0,7,148760,3722279982,23152558080,17783848960,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,10
