numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,190488,190488,380271,362096,86,109,0,16403,0,7,166120,6353245867,44023414784,35970351104,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,1
2,41,189736,189736,378251,359971,74,90,0,17140,0,7,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,3
2,41,188631,188631,375532,358565,64,91,0,15899,0,8,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,5
2,41,189716,189715,377231,360031,82,91,0,16194,0,7,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,7
2,41,188261,188261,374453,358696,71,94,0,14711,0,8,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,9
2,41,187707,187707,374669,358460,93,100,0,15159,0,7,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,2
2,41,189171,189171,376294,359593,76,93,0,15642,0,7,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,4
2,41,190705,190705,380138,361213,65,91,0,16765,0,7,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,6
2,41,189991,189991,376271,359875,68,92,0,15384,0,7,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,8
2,41,188725,188725,376880,360708,73,92,0,15237,0,8,166120,6350002046,43989860352,35936796672,50535,4057004672,0,0,40,40,40,0,1680,1680,0,0,1680,40,10
