numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,396,396,469,376,98,135,0,8,0,14,287243,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,2
2,81,464,463,579,388,108,139,0,0,0,14,287200,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,3
2,81,401,400,481,383,98,133,0,0,0,13,287200,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,5
2,81,431,431,515,395,105,141,0,0,0,13,287200,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,7
2,81,404,404,487,384,98,136,0,0,0,14,287200,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,9
2,81,408,408,482,392,113,139,0,7,0,14,287243,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,1
2,81,413,413,508,402,103,136,0,13,0,14,287286,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,4
2,81,389,388,462,367,94,131,0,16,0,13,287286,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,6
2,81,399,399,461,380,115,139,0,8,0,13,287243,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,8
2,81,395,395,467,375,94,133,0,7,0,13,287243,0,0,5394006016,160,2394378,0,0,80,80,80,0,3360,3360,0,0,3360,80,10
