numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,2096,2092,2700,2660,444,599,0,23,0,758,906286,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,2
3,361,2013,2009,2601,2573,419,573,0,28,0,694,906286,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,4
3,361,1998,1994,2572,2555,420,566,0,24,0,739,906243,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,6
3,361,2063,2059,2665,2660,475,635,0,9,0,729,906243,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,8
3,361,2105,2102,2721,2692,475,648,0,0,0,745,906200,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,10
3,361,2046,2043,2718,2648,480,609,0,77,0,751,906372,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,1
3,361,1972,1967,2585,2566,428,573,0,31,0,719,906243,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,3
3,361,1985,1981,2601,2599,425,585,0,9,0,717,906243,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,5
3,361,1967,1964,2591,2587,428,574,0,9,0,728,906243,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,7
3,361,2122,2118,2729,2677,474,646,0,19,0,734,906286,0,0,6727794688,160,2407416,0,0,506025,1000,1000,0,5798752,5798752,0,0,5798752,506025,9
