numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,4930,4925,8445,8335,450,629,0,77,0,807,906458,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,1
3,361,4990,4985,8511,8459,429,631,0,23,0,842,906329,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,3
3,361,4860,4857,8254,8179,430,620,0,41,0,801,906415,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,5
3,361,4828,4825,8164,8123,440,622,0,40,0,817,906415,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,7
3,361,4854,4850,8232,8157,430,623,0,43,0,814,906415,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,9
3,361,4972,4969,8404,8310,449,632,0,51,0,792,906415,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,2
3,361,4979,4975,8501,8394,442,625,0,42,0,823,906415,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,4
3,361,4968,4964,8437,8326,445,628,0,51,0,863,906458,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,6
3,361,5090,5087,8705,8606,444,631,0,45,0,860,906458,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,8
3,361,5032,5029,8541,8428,458,643,0,54,0,840,906458,0,0,6920601600,628,23765384,0,0,5067210,1000,1000,0,57885426,57885426,0,0,57885426,5067210,10
