numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,8792,8792,16766,16285,111,152,0,56,0,15,287372,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,2
2,81,8881,8880,16902,16414,119,155,0,39,0,16,287372,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,4
2,81,8778,8777,16724,16256,114,153,0,36,0,16,287372,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,5
2,81,8593,8593,16403,15968,106,150,8,24,0,16,287372,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,7
2,81,8846,8845,16863,16400,113,150,0,34,0,16,287329,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,10
2,81,8904,8904,17002,16534,116,154,0,35,0,16,287372,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,1
2,81,8588,8587,16379,15908,115,156,0,29,0,16,287329,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,3
2,81,8614,8613,16397,15963,111,147,0,28,0,15,287286,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,6
2,81,8649,8649,16520,16052,103,146,0,47,0,15,287372,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,8
2,81,8825,8825,16808,16332,117,156,0,29,0,15,287329,0,0,6752829440,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,9
