numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,11963,11963,23070,22401,135,182,0,247,0,16,323081,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,2
2,81,11950,11950,22988,22327,129,182,0,218,0,16,322823,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,4
2,81,11816,11816,22724,22130,129,177,0,170,0,16,322737,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,6
2,81,11852,11852,22872,22268,129,183,0,184,0,15,322780,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,8
2,81,11770,11770,22628,21978,119,176,0,223,0,15,322780,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,10
2,81,12028,12028,23246,22380,121,179,0,435,0,16,323210,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,1
2,81,11742,11742,22663,22028,122,175,0,208,0,15,322866,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,3
2,81,11811,11810,22772,22131,126,179,0,209,0,16,322780,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,5
2,81,11986,11986,22947,22312,122,175,0,186,0,15,322780,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,7
2,81,11899,11899,22897,22269,136,183,0,188,0,16,322694,0,0,11450449920,5148,370799377,0,0,80,80,80,0,3360,3360,0,0,3360,80,9
