numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,131657,131657,262727,255936,104,152,0,5950,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,2
2,81,130823,130823,260855,254532,115,157,0,5449,0,15,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,3
2,81,129923,129923,258650,251325,122,157,0,6485,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,9
2,81,135562,135562,269843,257788,146,182,0,6299,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,1
2,81,130829,130828,260904,254000,109,153,0,6072,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,4
2,81,130755,130755,260881,254470,109,152,0,5595,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,5
2,81,131903,131903,262769,256055,116,156,0,5881,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,6
2,81,133382,133381,263080,255816,120,160,0,6337,0,15,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,7
2,81,130571,130570,258470,251492,123,161,0,6231,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,8
2,81,129804,129803,257806,251123,114,158,0,5942,0,14,297520,3733855474,24494735360,35232153600,50570,4100047349,0,0,80,80,80,0,3360,3360,0,0,3360,80,10
