numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,289771,289768,572720,559418,436,660,0,6899,0,11517,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,2
3,361,286985,286981,567626,556818,431,649,0,6658,0,11370,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,4
3,361,289743,289740,574127,561303,459,657,0,6525,0,11538,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,6
3,361,288870,288867,573626,560247,435,652,0,6396,0,11588,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,8
3,361,288929,288924,572299,559505,437,653,0,6137,0,11645,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,10
3,361,288278,288273,569409,560256,455,679,0,7706,0,11376,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,1
3,361,288295,288291,571873,558546,453,660,0,7090,0,11185,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,3
3,361,287780,287776,569762,557529,424,644,0,5939,0,11346,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,5
3,361,289734,289730,573276,559531,447,653,0,6303,0,11663,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,7
3,361,290111,290107,573458,560184,460,665,0,6210,0,11649,914800,0,0,53687091200,50570,4076500142,0,0,504931085,1000,1000,0,5759404574,5759404574,0,0,5759404574,504931085,9
