numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,933,899,971,906,275,359,0,12,0,61,1025643,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,2
4,205,949,915,944,842,313,374,0,11,0,62,1025643,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,4
4,205,913,882,926,853,285,359,0,13,0,63,1025600,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,6
4,205,1014,985,1054,963,316,394,0,0,0,78,1025600,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,8
4,205,1019,982,1066,880,306,381,0,11,0,66,1025643,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,10
4,205,1075,999,1091,965,320,396,0,10,0,63,1025643,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,1
4,205,915,884,940,905,292,365,0,0,0,65,1025600,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,3
4,205,964,928,971,843,308,371,0,9,0,63,1025600,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,5
4,205,963,933,974,872,297,370,0,20,0,65,1025643,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,7
4,205,880,848,868,830,283,367,0,0,0,65,1025600,0,0,6723993600,52,2338792,0,0,241921,600,600,0,2475116,2475116,0,0,2475116,241921,9
