numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,2042,2666,3300,3252,280,346,0,0,0,167,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,2
4,205,2019,2063,3212,3165,282,345,0,0,0,160,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,4
4,205,2060,2676,3273,3218,279,352,0,0,0,161,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,6
4,205,2041,2105,3204,3141,275,353,0,0,0,172,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,8
4,205,2074,2136,3326,3215,273,346,0,11,0,172,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,10
4,205,2037,2082,3208,3115,272,344,0,0,0,160,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,1
4,205,2031,2641,3262,3144,268,340,0,20,0,162,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,3
4,205,2021,2626,3225,3125,271,337,0,16,0,165,1104643,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,5
4,205,2116,2778,3340,3275,354,360,0,10,0,169,1104643,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,7
4,205,2042,2632,3271,3216,281,350,0,0,0,162,1104600,0,0,13642498048,509,23616664,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,9
