numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,981,1018,1157,1111,256,336,0,0,0,107,1104600,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,1
4,205,1029,1056,1238,1155,261,344,0,14,0,99,1104643,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,3
4,205,1010,1135,1214,1133,255,330,0,22,0,101,1104686,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,5
4,205,1053,1086,1246,1127,273,343,0,0,0,97,1104600,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,7
4,205,1036,1074,1232,1146,257,347,0,11,0,111,1104643,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,9
4,205,1022,1136,1210,1088,252,336,0,11,0,95,1104600,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,2
4,205,1018,1072,1205,1143,283,337,0,0,0,109,1104600,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,4
4,205,958,1063,1136,1087,254,327,0,12,0,96,1104643,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,6
4,205,996,1117,1209,1137,242,331,0,0,0,97,1104600,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,8
4,205,992,1019,1161,1098,265,342,0,0,0,96,1104600,0,0,13451329536,53,8063368,0,0,506025,1000,1000,0,6424282,6424282,0,0,6424282,506025,10
