numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,3794,4837,6666,6572,290,362,0,45,0,245,1104686,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,1
4,205,3831,3879,6705,6660,310,382,0,10,0,243,1104643,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,3
4,205,3752,3800,6516,6436,283,374,0,20,0,248,1104643,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,5
4,205,3840,4803,6694,6572,317,378,0,38,0,238,1104686,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,7
4,205,3912,4950,6781,6634,304,398,0,34,0,247,1104643,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,9
4,205,3724,4714,6472,6429,294,364,0,0,0,236,1104600,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,2
4,205,3835,4834,6696,6617,297,373,0,19,0,247,1104643,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,4
4,205,3770,3819,6596,6534,290,366,0,0,0,247,1104600,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,6
4,205,3807,3850,6653,6565,311,379,0,27,0,244,1104686,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,8
4,205,3773,4801,6562,6495,282,361,0,0,0,250,1104600,0,0,13642498048,509,85833744,0,0,5067210,1000,1000,0,83267047,83267047,0,0,83267047,5067210,10
