numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,3212,3147,5243,5128,307,403,0,54,0,190,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,1
4,205,3351,3271,5430,5232,322,414,0,21,0,185,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,3
4,205,3179,3073,5145,5077,301,403,0,10,0,186,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,5
4,205,3137,3066,5165,5084,303,392,0,15,0,190,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,7
4,205,3146,3084,5174,5095,301,395,0,12,0,187,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,8
4,205,3123,3038,5110,5032,303,394,0,8,0,187,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,9
4,205,3171,3091,5171,5047,295,386,1,47,0,183,1973439,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,10
4,205,3090,3023,5056,4987,294,393,0,10,0,182,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,2
4,205,3267,3203,5431,5356,298,403,0,12,0,195,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,4
4,205,3146,3083,5166,5076,303,399,0,0,0,189,1973396,0,0,6814171136,509,85833744,0,0,2460307,600,600,0,66869584,66869584,0,0,66869584,2460307,6
