numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,5746,5742,10478,10362,285,402,0,57,0,275,931258,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,1
3,205,6058,6055,11059,10905,304,419,0,86,0,296,931258,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,4
3,205,5842,5839,10643,10519,291,415,0,50,0,285,931215,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,6
3,205,5778,5774,10547,10407,291,403,0,54,0,276,931258,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,8
3,205,5789,5786,10553,10397,290,403,0,49,0,278,931258,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,10
3,205,5805,5801,10612,10487,295,401,0,79,0,283,931344,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,2
3,205,5963,5959,10832,10714,290,408,0,27,0,309,931129,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,3
3,205,5885,5881,10769,10631,287,403,0,48,0,291,931258,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,5
3,205,5957,5954,10888,10740,301,412,0,62,0,298,931258,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,7
3,205,5890,5887,10767,10621,292,408,0,69,0,300,931301,0,0,6920601600,509,85833744,0,0,5067210,1000,1000,0,103769843,103769843,0,0,103769843,5067210,9
