numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,32930,33143,64244,64044,296,416,0,65,0,1993,1104729,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,2
4,209,32215,32435,62792,62569,284,410,0,51,0,2007,1104643,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,4
4,209,32093,41541,62676,62487,290,410,0,74,0,2007,1104729,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,6
4,209,32863,33070,64251,63885,315,426,0,117,0,2037,1104815,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,8
4,209,32255,32460,62991,62682,291,410,0,138,0,2015,1104901,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,10
4,209,32569,41975,63678,63459,283,407,0,50,0,1984,1104643,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,1
4,209,32420,41970,63270,63077,290,412,0,48,0,1984,1104686,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,3
4,209,32593,32797,63664,63332,283,408,0,109,0,1998,1104772,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,5
4,209,32364,32591,63281,63018,290,414,0,110,0,2015,1104815,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,7
4,209,32347,41768,63329,63033,292,414,0,144,0,2012,1104901,0,0,15125708800,5055,854827016,0,0,50486551,1800,1800,0,1003697658,1003697658,0,0,1003697658,50486551,9
