numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,206,8279,8980,15072,14682,366,457,0,69,0,420,1079729,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,2
4,206,8604,9268,15561,15005,372,457,0,36,0,446,1079729,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,3
4,206,8344,10169,15212,14910,365,455,0,50,0,424,1079686,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,4
4,206,7970,8799,14543,14399,311,424,0,39,0,457,1079729,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,7
4,206,8033,9849,14697,14338,328,437,0,77,0,430,1079772,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,9
4,206,8925,9881,16282,15364,383,465,0,103,0,445,1079815,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,1
4,206,8042,8660,14667,14372,337,443,0,61,0,442,1079729,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,5
4,206,7842,8592,14470,14290,330,435,0,81,0,447,1079772,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,6
4,206,7646,9475,13926,13792,309,422,0,38,0,425,1079686,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,8
4,206,7839,8435,14241,13970,317,426,0,37,0,434,1079643,0,0,13889437696,1429,197631072,0,0,14265990,1200,1200,0,179656553,179656553,0,0,179656553,14265990,10
