numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,206,12025,12018,22385,19765,437,484,0,157,0,666,893901,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,1
3,206,10255,10250,18933,18529,342,463,0,142,0,613,893944,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,3
3,206,9556,9552,17661,17396,303,435,0,121,0,623,893944,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,5
3,206,9866,9862,18302,17947,299,432,0,136,0,655,894030,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,8
3,206,9821,9818,18238,17990,321,442,0,91,0,602,893944,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,10
3,206,10051,10047,18623,18250,332,452,0,123,0,623,893987,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,2
3,206,9759,9753,17966,17676,329,442,0,120,0,626,893901,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,4
3,206,9928,9924,18412,18134,323,451,0,145,0,608,893944,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,6
3,206,9927,9923,18389,18167,329,451,0,70,0,617,893815,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,7
3,206,9927,9923,18338,18112,314,443,0,123,0,611,893987,0,0,7157579776,1429,197631072,0,0,14265990,1200,1200,0,276776363,276776363,0,0,276776363,14265990,9
