numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,1376,1418,1576,1248,398,465,0,0,43,117,1079600,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,2
4,205,1363,1402,1547,1169,390,446,0,11,41,110,1079643,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,5
4,205,1662,1802,2107,1461,496,497,0,205,35,113,1079686,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,1
4,205,1250,1289,1388,1151,390,443,0,16,37,107,1079643,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,6
4,205,1336,1442,1530,1155,379,437,0,0,64,103,1079600,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,9
4,205,1227,1311,1402,1101,396,423,0,9,41,144,1079643,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,10
4,205,1626,1711,1817,1338,531,482,0,20,59,121,1079643,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,3
4,205,1342,1379,1483,1201,408,468,0,0,27,105,1079600,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,4
4,205,1247,1375,1401,1140,360,421,0,0,24,107,1079600,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,8
4,205,1354,1478,1472,1202,459,444,0,52,29,116,1079643,0,0,13451329536,52,2338768,0,0,506025,1000,800,200,4016176,2107588,1908588,0,4016176,506025,7
