numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,7339,6870,17500,7105,3340,2024,13,122,341,225,1000527,0,0,6723993600,52,2338768,0,0,241921,600,282,318,2480749,1228207,1252542,0,2480749,241921,1
4,205,1714,1657,3799,1822,678,601,0,0,172,124,1000366,0,0,6723993600,52,2338768,0,0,241921,600,317,283,2480749,1238550,1242199,0,2480749,241921,7
4,205,3030,2885,6931,2871,1101,779,9,333,245,130,1000702,0,0,6723993600,52,2338768,0,0,241921,600,279,321,2480749,1237826,1242923,0,2480749,241921,2
4,205,1595,1532,3484,1678,608,576,1,63,161,92,1000546,0,0,6723993600,52,2338768,0,0,241921,600,287,313,2480749,1256464,1224285,0,2480749,241921,8
4,205,2230,2145,5448,2211,778,641,2,187,614,118,1000487,0,0,6723993600,52,2338768,0,0,241921,600,279,321,2480749,1269493,1211256,0,2480749,241921,3
4,205,1810,1681,4021,1864,681,604,1,10,286,100,1000464,0,0,6723993600,52,2338768,0,0,241921,600,289,311,2480749,1234918,1245831,0,2480749,241921,6
4,205,1209,1159,2538,1518,549,550,1,0,66,90,1000421,0,0,6723993600,52,2338768,0,0,241921,600,311,289,2480749,1242756,1237993,0,2480749,241921,10
4,205,1855,1776,3961,2074,822,630,0,0,158,118,1000354,0,0,6723993600,52,2338768,0,0,241921,600,323,277,2480749,1255053,1225696,0,2480749,241921,4
4,205,1615,1557,3439,1925,638,608,3,169,191,96,1000476,0,0,6723993600,52,2338768,0,0,241921,600,305,295,2480749,1241087,1239662,0,2480749,241921,5
4,205,1190,1139,2552,1537,521,539,4,7,160,93,1000470,0,0,6723993600,52,2338768,0,0,241921,600,308,292,2480749,1233526,1247223,0,2480749,241921,9
