numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,3280,3270,9689,4344,797,637,10,13,652,214,905901,0,0,6727794688,52,2338768,0,0,506025,1000,458,542,5786914,2868197,2918717,0,5786914,506025,1
3,205,1418,1413,3704,2414,517,519,0,7,244,125,905768,0,0,6727794688,52,2338768,0,0,506025,1000,484,516,5786914,2959601,2827313,0,5786914,506025,5
3,205,1211,1204,2933,2332,410,491,0,0,47,138,905788,0,0,6727794688,52,2338768,0,0,506025,1000,482,518,5786914,2873255,2913659,0,5786914,506025,6
3,205,1839,1833,5042,2982,590,568,6,77,272,148,905893,0,0,6727794688,52,2338768,0,0,506025,1000,446,554,5786914,2871240,2915674,0,5786914,506025,2
3,205,1549,1529,3819,2331,471,500,0,14,120,146,905821,0,0,6727794688,52,2338768,0,0,506025,1000,489,511,5786914,2867923,2918991,0,5786914,506025,7
3,205,1629,1622,4377,2530,469,518,0,35,252,140,905903,0,0,6727794688,52,2338768,0,0,506025,1000,461,539,5786914,2856831,2930083,0,5786914,506025,4
3,205,1385,1377,3465,2285,418,487,0,29,31,169,905870,0,0,6727794688,52,2338768,0,0,506025,1000,492,508,5786914,2871341,2915573,0,5786914,506025,8
3,205,1155,1149,2857,2227,480,505,0,0,128,116,905808,0,0,6727794688,52,2338768,0,0,506025,1000,504,496,5786914,2921646,2865268,0,5786914,506025,10
3,205,1279,1274,3277,2244,437,491,1,31,239,114,905903,0,0,6727794688,52,2338768,0,0,506025,1000,461,539,5786914,2887331,2899583,0,5786914,506025,9
3,205,1947,1939,5432,2691,523,540,6,37,492,132,905868,0,0,6727794688,52,2338768,0,0,506025,1000,491,509,5786914,2887574,2899340,0,5786914,506025,3
