numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,207,1577,2214,3821,3644,371,444,0,0,28,166,1079602,0,0,13642498048,509,23616656,0,0,5067210,1000,499,501,40128741,20205432,19923309,0,40128741,5067210,4
4,207,1632,2253,4045,3730,356,445,0,29,49,165,1079723,0,0,13642498048,509,23616656,0,0,5067210,1000,503,497,40128741,20082931,20045810,0,40128741,5067210,6
4,207,1611,1652,3889,3634,354,438,0,0,85,156,1079612,0,0,13642498048,509,23616656,0,0,5067210,1000,506,494,40128741,20110032,20018709,0,40128741,5067210,7
4,207,1558,1602,3773,3571,350,428,0,14,40,156,1079657,0,0,13642498048,509,23616656,0,0,5067210,1000,493,507,40128741,20127113,20001628,0,40128741,5067210,9
4,207,1671,1723,4172,3689,346,434,0,107,191,163,1079680,0,0,13642498048,509,23616656,0,0,5067210,1000,503,497,40128741,20219800,19908941,0,40128741,5067210,3
4,207,1616,2243,3953,3671,392,439,0,0,54,159,1079598,0,0,13642498048,509,23616656,0,0,5067210,1000,499,501,40128741,19963745,20164996,0,40128741,5067210,10
4,207,1650,1718,4066,3768,413,451,0,7,97,163,1079612,0,0,13642498048,509,23616656,0,0,5067210,1000,494,506,40128741,20018642,20110099,0,40128741,5067210,5
4,207,1584,1626,3859,3646,358,436,0,0,64,158,1079604,0,0,13642498048,509,23616656,0,0,5067210,1000,498,502,40128741,19982415,20146326,0,40128741,5067210,8
4,207,1637,2273,4052,3692,351,445,0,0,31,162,1079600,0,0,13642498048,509,23616656,0,0,5067210,1000,500,500,40128741,20116168,20012573,0,40128741,5067210,2
4,207,1836,2455,4594,4027,389,482,0,13,163,170,1079722,0,0,13642498048,509,23616656,0,0,5067210,1000,518,482,40128741,20056274,20072467,0,40128741,5067210,1
