numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,207,1583,1522,3706,3453,400,481,0,23,29,108,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,299,301,24781730,12444446,12337284,0,24781730,2460307,4
4,207,1681,1606,3988,3530,443,509,0,22,63,109,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,300,300,24781730,12336812,12444918,0,24781730,2460307,6
4,207,1578,1513,3736,3355,400,476,0,33,21,107,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,304,296,24781730,12364127,12417603,0,24781730,2460307,9
4,207,1786,1720,4239,3663,476,527,0,54,21,113,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,297,303,24781730,12424644,12357086,0,24781730,2460307,2
4,207,1696,1560,3818,3452,422,489,0,17,111,112,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,293,307,24781730,12490188,12291542,0,24781730,2460307,5
4,207,1553,1482,3627,3395,403,493,0,10,28,109,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,301,299,24781730,12524802,12256928,0,24781730,2460307,10
4,207,2408,2289,5696,4193,520,556,1,0,174,118,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,309,291,24781730,12359885,12421845,0,24781730,2460307,1
4,207,1537,1472,3576,3374,410,490,0,10,3,108,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,299,301,24781730,12348322,12433408,0,24781730,2460307,8
4,207,1691,1610,3874,3500,443,506,0,23,59,111,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,298,302,24781730,12282186,12499544,0,24781730,2460307,3
4,207,1640,1578,3901,3483,420,501,0,19,47,110,1481369,0,0,6814171136,509,23616656,0,0,2460307,600,302,298,24781730,12400195,12381535,0,24781730,2460307,7
