numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,10386,10603,27648,27372,333,429,0,34,7,803,1079737,0,0,15125708800,5051,230685472,0,0,50486551,1000,496,504,399447886,199889103,199558783,0,399447886,50486551,4
4,209,10408,14168,27819,27605,314,431,0,50,17,824,1079733,0,0,15125708800,5051,230672991,0,0,50486551,1000,502,498,399447886,199195399,200252487,0,399447886,50486551,8
4,209,10554,13783,28415,28069,331,435,0,29,17,831,1079653,0,0,15125708800,5051,230672991,0,0,50486551,1000,505,495,399447886,200004707,199443179,0,399447886,50486551,2
4,209,10425,10651,27819,27649,359,440,0,36,6,829,1079690,0,0,15125708800,5051,230685472,0,0,50486551,1000,498,502,399447886,199854706,199593180,0,399447886,50486551,5
4,209,10327,14323,27376,27169,328,420,0,38,29,800,1079684,0,0,15125708800,5051,230672991,0,0,50486551,1000,499,501,399447886,199836688,199611198,0,399447886,50486551,6
4,209,10368,10609,27506,27309,341,430,0,43,15,810,1079729,0,0,15125708800,5051,230685472,0,0,50486551,1000,500,500,399447886,199546737,199901149,0,399447886,50486551,3
4,209,10285,10483,27066,26880,312,425,0,53,19,809,1079768,0,0,15125708800,5051,230685472,0,0,50486551,1000,502,498,399447886,199677042,199770844,0,399447886,50486551,9
4,209,10673,10895,28750,28169,348,441,0,151,253,840,1079649,0,0,15125708800,5051,230685472,0,0,50486551,1000,503,497,399447886,199931050,199516836,0,399447886,50486551,1
4,209,10641,14160,28573,28228,353,440,0,48,18,822,1079776,0,0,15125708800,5051,230672991,0,0,50486551,1000,498,502,399447886,200053393,199394493,0,399447886,50486551,7
4,209,10489,14320,27990,27712,344,440,0,49,5,804,1079743,0,0,15125708800,5051,230672991,0,0,50486551,1000,493,507,399447886,199874670,199573216,0,399447886,50486551,10
