numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,223,134029,135858,381488,371935,581,598,0,5921,178,9941,1174957,0,0,87660953600,50511,2345250319,0,0,504931085,4200,2156,2044,3995629959,1959720057,2035909902,0,3995629959,504931085,3
4,223,132764,165507,375094,368525,545,565,0,5895,37,7709,1174914,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2390,1810,3995629959,2137798360,1857831599,0,3995629959,504931085,6
4,223,138063,172125,401901,385699,671,603,0,5414,35,14609,1174914,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2360,1840,3995629959,2123610718,1872019241,0,3995629959,504931085,2
4,223,132504,165707,375087,369430,556,583,0,4763,36,7814,1174914,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2380,1820,3995629959,2133415657,1862214302,0,3995629959,504931085,5
4,223,132500,134289,382324,376835,536,543,0,4164,34,7901,1174785,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2380,1820,3995629959,2133511115,1862118844,0,3995629959,504931085,10
4,223,135766,137776,385097,375873,610,638,0,4388,30,8636,1174656,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2390,1810,3995629959,2137438174,1858191785,0,3995629959,504931085,1
4,223,132868,165378,377399,370178,560,579,0,6092,25,8022,1175000,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2380,1820,3995629959,2134473141,1861156818,0,3995629959,504931085,4
4,223,133608,135385,377538,370799,520,554,0,5961,20,7893,1174957,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2390,1810,3995629959,2138027621,1857602338,0,3995629959,504931085,7
4,223,132788,134665,376930,370484,550,554,0,5102,9,7991,1174871,0,0,87660953600,50511,2345250319,0,0,504931085,4200,2157,2043,3995629959,1960104388,2035525571,0,3995629959,504931085,8
4,223,131391,164638,373459,368324,515,545,0,4696,10,7597,1174699,0,0,87660953600,50511,2342370712,0,0,504931085,4200,2380,1820,3995629959,2131970088,1863659871,0,3995629959,504931085,9
