numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,223,141263,141256,545691,538678,315,457,0,5779,0,11448,914604,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2106,2094,5732081628,2872278904,2859802724,0,5732081628,504931085,4
3,223,141331,141326,547941,540288,314,459,0,5942,0,11699,914604,0,0,53687091200,50511,2344653237,0,0,504931085,4200,2102,2098,5732081628,2868210439,2863871189,0,5732081628,504931085,6
3,223,140458,140453,544848,537274,314,452,0,6096,0,11507,914604,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2102,2098,5732081628,2872396631,2859684997,0,5732081628,504931085,9
3,223,140151,140145,543961,538016,314,452,0,4957,0,11184,914602,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2101,2099,5732081628,2869619005,2862462623,0,5732081628,504931085,2
3,223,139807,139801,542607,536357,310,452,0,5415,0,11044,914604,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2102,2098,5732081628,2871958550,2860123078,0,5732081628,504931085,5
3,223,140215,140210,543046,536413,345,454,0,5559,0,11190,914604,0,0,53687091200,50511,2344653237,0,0,504931085,4200,2102,2098,5732081628,2868266576,2863815052,0,5732081628,504931085,10
3,223,142346,142339,552840,544164,351,483,0,6935,0,11216,914604,0,0,53687091200,50511,2344653237,0,0,504931085,4200,2102,2098,5732081628,2868366577,2863715051,0,5732081628,504931085,1
3,223,140525,140519,545584,538935,311,460,0,5862,0,11346,914604,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2106,2094,5732081628,2872481270,2859600358,0,5732081628,504931085,3
3,223,139539,139534,542031,535689,300,445,0,5473,0,11137,914604,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2106,2094,5732081628,2871690277,2860391351,0,5732081628,504931085,7
3,223,140393,140387,544277,537585,314,455,0,5615,0,11160,914602,0,0,53687091200,50511,2343655509,0,0,504931085,4200,2103,2097,5732081628,2870079605,2862002023,0,5732081628,504931085,8
