numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,321,4818,4548,9730,4386,2767,1614,14,324,0,86,630252,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,1
3,321,1745,1685,2522,1538,706,649,12,257,0,54,630209,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,5
3,321,1617,1555,2174,1312,726,602,11,0,0,48,630166,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,9
3,321,1987,1848,3365,1724,687,690,4,212,0,65,630209,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,3
3,321,1232,1180,2002,1453,587,643,3,5,8,49,630166,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,6
3,321,2023,1897,2502,1323,705,602,0,0,0,70,630080,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,10
3,321,2624,2537,4211,2042,1125,780,2,0,0,59,630080,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,2
3,321,1125,1072,1759,1329,499,585,0,0,0,48,630080,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,7
3,321,1915,1841,2977,1594,627,666,3,0,0,57,630080,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,4
3,321,1814,1746,3168,1401,700,631,0,60,0,72,630209,0,0,5468794880,320,2504208,0,0,160,160,80,80,6720,3360,3360,0,6720,160,8
