numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,521,2725,2715,6502,4881,852,1025,4,16,258,1719,918997,0,0,6727794688,320,2504208,0,0,506025,1800,1160,640,5835278,4321780,1513498,0,5835278,506025,3
3,521,2255,2250,5513,4555,828,964,0,35,136,1658,918825,0,0,6727794688,320,2504208,0,0,506025,1800,1154,646,5835278,4249847,1585431,0,5835278,506025,5
3,521,2430,2420,5815,4885,881,1013,0,10,142,1582,918094,0,0,6727794688,320,2504208,0,0,506025,1800,1184,616,5835278,4331397,1503881,0,5835278,506025,2
3,521,1895,1890,4713,4136,680,897,4,61,55,1501,917363,0,0,6727794688,320,2504208,0,0,506025,1800,1172,628,5835278,4343430,1491848,0,5835278,506025,8
3,521,2505,2499,6380,4669,806,971,0,39,286,1599,918094,0,0,6727794688,320,2504208,0,0,506025,1800,1166,634,5835278,4320013,1515265,0,5835278,506025,4
3,521,5872,5835,15241,7411,1308,1224,24,58,498,2814,919126,0,0,6727794688,320,2504208,0,0,506025,1800,1174,626,5835278,4362103,1473175,0,5835278,506025,1
3,521,2074,2068,5299,4227,728,906,0,38,143,1428,917406,0,0,6727794688,320,2504208,0,0,506025,1800,1178,622,5835278,4315850,1519428,0,5835278,506025,6
3,521,1849,1843,4590,4275,735,926,0,12,73,1521,918524,0,0,6727794688,320,2504208,0,0,506025,1800,1154,646,5835278,4242790,1592488,0,5835278,506025,7
3,521,1755,1750,4374,4085,677,889,0,30,41,1450,917320,0,0,6727794688,320,2504208,0,0,506025,1800,1198,602,5835278,4383249,1452029,0,5835278,506025,9
3,521,1736,1732,4282,4056,679,890,0,43,70,1425,917339,0,0,6727794688,320,2504208,0,0,506025,1800,1169,631,5835278,4324846,1510432,0,5835278,506025,10
