numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,887,886,2603,2270,249,313,0,4,0,30,574443,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,4
2,161,1075,1074,3099,2217,233,311,0,168,0,30,574529,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,5
2,161,881,880,2614,2250,245,308,0,16,0,30,574529,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,2
2,161,854,854,2504,2152,245,307,0,9,0,30,574486,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,6
2,161,968,967,2781,2301,266,319,0,14,0,30,574486,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,7
2,161,913,912,2699,2286,270,325,0,14,0,30,574529,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,10
2,161,1040,1039,2912,2343,264,319,0,22,0,33,574529,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,1
2,161,885,885,2595,2202,234,307,0,4,0,30,574443,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,8
2,161,875,874,2609,2274,248,308,0,4,0,30,574443,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,3
2,161,947,946,2731,2206,251,315,0,18,0,32,574486,0,0,10915676160,762,23818395,0,0,160,160,80,80,6720,3360,3360,0,6720,160,9
