numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,321,1275,1194,3084,2888,382,531,0,14,1,32,2065195,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,3
3,321,1442,1349,3570,3192,510,579,0,12,0,35,2070054,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,7
3,321,1331,1238,3202,2898,397,538,0,180,0,31,2065625,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,10
3,321,1725,1628,3820,3242,414,554,0,13,0,34,2065883,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,1
3,321,1277,1188,3019,2808,394,526,0,13,0,30,2065453,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,9
3,321,1310,1232,3261,2978,392,541,0,25,0,33,2065410,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,8
3,321,1642,1561,3753,3096,527,568,0,26,0,36,2067474,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,2
3,321,1254,1174,2961,2772,375,524,0,25,0,30,2064034,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,5
3,321,1251,1174,3137,2948,376,524,0,32,0,30,2064249,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,4
3,321,1307,1227,3124,2984,394,543,0,20,0,34,2064722,0,0,6348595200,762,23940056,0,0,160,160,80,80,6720,3360,3360,0,6720,160,6
