numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,521,3193,3188,10194,10087,587,859,0,47,3,1477,916307,0,0,6920601600,762,23940056,0,0,5067210,1800,1011,789,58011033,36141023,21870010,0,58011033,5067210,2
3,521,3176,3171,9861,9814,588,875,0,46,6,1450,915275,0,0,6920601600,762,23940056,0,0,5067210,1800,981,819,58011033,35237037,22773996,0,58011033,5067210,7
3,521,3171,3166,9915,9844,612,879,2,32,18,1451,916651,0,0,6920601600,762,23940056,0,0,5067210,1800,1055,745,58011033,37713232,20297801,0,58011033,5067210,10
3,521,3625,3620,11325,10278,692,897,0,359,237,1679,916694,0,0,6920601600,762,23940056,0,0,5067210,1800,1034,766,58011033,36999699,21011334,0,58011033,5067210,1
3,521,3162,3158,9845,9729,598,881,0,40,0,1538,915705,0,0,6920601600,762,23940056,0,0,5067210,1800,1022,778,58011033,35794747,22216286,0,58011033,5067210,6
3,521,3145,3140,9828,9786,575,870,0,57,3,1447,915060,0,0,6920601600,762,23940056,0,0,5067210,1800,1031,769,58011033,36336875,21674158,0,58011033,5067210,8
3,521,3340,3337,10523,10255,630,877,0,58,30,1521,916350,0,0,6920601600,762,23940056,0,0,5067210,1800,1023,777,58011033,37128155,20882878,0,58011033,5067210,3
3,521,3204,3200,10300,10180,644,869,0,54,9,1518,916608,0,0,6920601600,762,23940056,0,0,5067210,1800,1033,767,58011033,37091809,20919224,0,58011033,5067210,5
3,521,3436,3432,10891,10746,650,916,0,34,13,1508,917081,0,0,6920601600,762,23940056,0,0,5067210,1800,1039,761,58011033,37054382,20956651,0,58011033,5067210,9
3,521,3218,3212,10315,10176,630,867,0,29,8,1530,916651,0,0,6920601600,762,23940056,0,0,5067210,1800,1026,774,58011033,36498934,21512099,0,58011033,5067210,4
