numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,8683,8682,19083,18340,223,304,0,25,0,29,574572,0,0,12121538560,5193,376757654,0,0,160,160,142,18,6720,5964,756,0,6720,160,3
2,161,8555,8554,18793,17969,230,299,0,62,0,29,574615,0,0,12121538560,5193,376772511,0,0,160,160,142,18,6720,5964,756,0,6720,160,4
2,161,8616,8615,18923,18144,220,297,0,33,0,31,574615,0,0,12121538560,5193,376764994,0,0,160,160,142,18,6720,5964,756,0,6720,160,6
2,161,8528,8527,18946,18171,214,297,0,46,0,31,574701,0,0,12121538560,5193,376772270,0,0,160,160,142,18,6720,5964,756,0,6720,160,7
2,161,8430,8429,18450,17704,216,295,0,21,0,29,574529,0,0,12121538560,5193,376765481,0,0,160,160,142,18,6720,5964,756,0,6720,160,2
2,161,8625,8623,18809,18028,283,296,0,68,0,29,574787,0,0,12121538560,5193,376758153,0,0,160,160,142,18,6720,5964,756,0,6720,160,9
2,161,8741,8740,18951,18191,228,303,0,41,0,29,574658,0,0,12121538560,5193,376757895,0,0,160,160,142,18,6720,5964,756,0,6720,160,1
2,161,8723,8723,19023,18276,222,304,0,31,0,29,574615,0,0,12121538560,5193,376772508,0,0,160,160,142,18,6720,5964,756,0,6720,160,5
2,161,8574,8574,18513,17800,207,295,0,37,0,29,574615,0,0,12121538560,5193,376772508,0,0,160,160,142,18,6720,5964,756,0,6720,160,8
2,161,8681,8680,18924,18167,219,305,0,47,0,29,574658,0,0,12121538560,5193,376757650,0,0,160,160,142,18,6720,5964,756,0,6720,160,10
