numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,521,17186,17181,65189,64736,575,863,0,389,0,2381,917769,0,0,8388608000,5193,377626600,0,0,50486551,1800,985,815,576840397,322291882,254548515,0,576840397,50486551,2
3,521,17231,17228,65194,64727,573,861,0,379,0,2310,916866,0,0,8388608000,5193,377626600,0,0,50486551,1800,987,813,576840397,335567866,241272531,0,576840397,50486551,4
3,521,17129,17124,65320,64859,589,862,0,414,0,2302,917296,0,0,8388608000,5193,377626600,0,0,50486551,1800,974,826,576840397,319805061,257035336,0,576840397,50486551,9
3,521,17568,17564,66355,65772,616,889,0,484,0,2377,917511,0,0,8388608000,5193,377626600,0,0,50486551,1800,997,803,576840397,353492758,223347639,0,576840397,50486551,1
3,521,17559,17553,66196,65671,590,868,0,355,0,2512,918285,0,0,8388608000,5193,377626600,0,0,50486551,1800,965,835,576840397,327210468,249629929,0,576840397,50486551,5
3,521,17142,17106,64611,64181,567,861,0,352,0,2388,916522,0,0,8388608000,5193,377626600,0,0,50486551,1800,983,817,576840397,348657757,228182640,0,576840397,50486551,7
3,521,17158,17154,65133,64730,613,881,0,357,0,2387,919446,0,0,8388608000,5193,377626600,0,0,50486551,1800,982,818,576840397,334275200,242565197,0,576840397,50486551,6
3,521,16954,16949,64152,63778,616,853,0,344,0,2303,918371,0,0,8388608000,5193,377626600,0,0,50486551,1800,989,811,576840397,339887215,236953182,0,576840397,50486551,8
3,521,17268,17263,65621,64913,552,855,0,544,25,2290,915447,0,0,8388608000,5193,377626600,0,0,50486551,1800,990,810,576840397,338674656,238165741,0,576840397,50486551,10
3,521,17602,17597,66635,66151,654,896,0,396,0,2428,919317,0,0,8388608000,5193,377626600,0,0,50486551,1800,980,820,576840397,330507819,246332578,0,576840397,50486551,3
