numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,131,131,286,224,45,46,0,0,0,4,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,3
2,21,115,114,235,207,43,42,0,0,0,3,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,6
2,21,160,160,358,205,48,43,0,32,0,3,71823,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,7
2,21,163,163,278,233,50,48,0,0,0,4,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,2
2,21,112,111,220,185,39,42,0,0,0,3,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,5
2,21,120,120,253,207,40,42,0,0,0,3,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,8
2,21,119,118,256,203,49,45,0,0,0,3,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,10
2,21,125,124,252,214,38,43,0,0,0,4,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,4
2,21,216,215,535,387,83,68,0,0,0,5,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,1
2,21,109,109,235,207,39,43,0,0,0,3,71780,0,0,1364459520,80,2345006,0,0,20,20,10,10,840,420,420,0,840,20,9
