numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,41,510,431,716,583,176,165,0,18,0,4,197488,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,1
3,41,263,234,316,284,84,82,0,13,0,4,197230,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,6
3,41,238,203,302,287,74,75,0,0,0,4,196757,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,2
3,41,248,219,295,248,84,76,0,15,0,3,197144,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,4
3,41,274,247,326,312,85,85,0,0,0,4,197359,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,7
3,41,309,269,348,291,93,83,0,0,0,3,197703,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,10
3,41,316,273,362,307,94,81,0,11,0,3,197144,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,3
3,41,304,279,372,305,82,79,0,0,0,4,197101,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,5
3,41,279,250,330,308,85,81,0,0,0,4,196714,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,9
3,41,262,235,291,283,75,81,0,0,0,3,196972,0,0,692250112,80,2354888,0,0,20,20,18,2,840,756,84,0,840,20,8
