numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,977,977,1792,1739,40,43,0,0,0,3,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,1
2,21,815,814,1469,1424,37,41,0,0,0,3,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,5
2,21,829,829,1475,1385,44,42,0,0,1,3,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,9
2,21,789,789,1457,1386,36,42,0,9,0,3,71807,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,2
2,21,775,775,1396,1347,34,38,0,0,0,3,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,8
2,21,833,832,1502,1455,37,41,0,0,0,3,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,4
2,21,842,841,1645,1593,39,42,0,0,0,4,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,3
2,21,897,896,1614,1565,46,45,0,0,0,3,71764,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,7
2,21,807,807,1490,1427,40,41,0,17,0,3,71850,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,6
2,21,769,768,1380,1324,35,40,0,5,0,3,71807,0,0,1512570880,528,23562112,0,0,20,20,18,2,840,756,84,0,840,20,10
