numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,41,623,562,1619,1590,77,76,0,14,0,3,1643934,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,3
3,41,578,516,1638,1586,66,78,0,27,0,4,1643676,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,6
3,41,578,517,1653,1589,64,73,0,31,0,3,1643719,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,9
3,41,616,553,1771,1666,65,73,0,61,0,3,1643805,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,4
3,41,672,609,1963,1899,99,85,0,20,0,3,1644235,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,7
3,41,756,657,2001,1904,94,82,0,32,0,4,1644020,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,10
3,41,583,520,1660,1590,63,73,0,16,0,3,1643676,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,5
3,41,612,545,1646,1579,67,77,0,41,0,3,1643977,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,8
3,41,567,505,1610,1583,72,75,0,0,0,3,1644020,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,2
3,41,587,523,1646,1587,72,76,0,29,0,3,1643977,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,1
